timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y
240,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13715e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
250,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13715e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
260,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13716e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
270,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13716e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
280,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13717e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
290,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13717e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
300,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13718e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
310,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13718e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
320,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13719e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
330,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13719e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
340,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.1372e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
350,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13721e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
360,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13721e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
370,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13722e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
380,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13722e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
390,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13723e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
400,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13723e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
410,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13724e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
420,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13724e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
430,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13725e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
440,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13725e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
450,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13726e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
460,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13727e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
470,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13727e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
480,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13728e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
490,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13728e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
500,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13729e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
510,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13729e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
520,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.1373e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
530,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.1373e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
540,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13731e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
550,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13731e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
560,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13732e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
570,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13732e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
580,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13733e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
590,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13734e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
600,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13734e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
610,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13735e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
620,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13735e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
630,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13736e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
640,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13736e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
650,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13737e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
660,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13737e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
670,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13738e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
680,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13738e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
690,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13739e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
700,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.1374e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
710,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.1374e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
720,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13741e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
730,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13741e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
740,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13742e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
750,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13742e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
760,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13743e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
770,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13743e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
780,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13744e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
790,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13744e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
800,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13745e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
810,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13745e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
820,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13746e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
830,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13747e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
840,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13747e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
850,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13748e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
860,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13748e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
870,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13749e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
880,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13749e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
890,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.1375e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
900,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.1375e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
910,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13751e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
920,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13751e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
930,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13752e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
940,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13753e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
950,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13753e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
960,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13754e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
970,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13754e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
980,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13755e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
990,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13755e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
1000,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13756e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
1010,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13756e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
1020,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13757e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
1030,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13757e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
1040,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13758e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
1050,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13759e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
1060,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13759e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
