timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OTfiltered_vx,filtered_vy
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00779127,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00759074,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
30,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,-3.40903e-12,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00218737,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
40,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,0,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00212677,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
50,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,-3.40903e-12,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00207202,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
60,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,0,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00200648,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
70,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,-3.40903e-12,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00194692,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
80,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,0,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00188914,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
90,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,-3.40903e-12,-1.13706e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00182938,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
100,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,0,-1.13706e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00175715,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
110,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,-3.40903e-12,-1.13707e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00170847,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
120,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,0,-1.13708e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00165104,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
130,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,-3.40903e-12,-1.13708e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00159881,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
140,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,0,-1.13709e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.00155138,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
150,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,-3.40903e-12,-1.13709e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.00150534,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
160,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,0,-1.1371e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.00145769,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
170,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,-3.40903e-12,-1.1371e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.00141443,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
180,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,0,-1.13711e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.00136969,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
190,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,-3.40903e-12,-1.13711e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.00132905,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
200,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,0,-1.13712e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.00128961,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
210,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,-3.40903e-12,-1.13712e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.00125388,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
220,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,0,-1.13713e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.0012142,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
230,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,-3.40903e-12,-1.13714e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.00117816,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
240,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,0,-1.13714e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.00114087,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
250,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,-3.40903e-12,-1.13715e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.00110701,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
260,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,0,-1.13715e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.001048,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
270,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,-3.40903e-12,-1.13716e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.0010169,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
280,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,0,-1.13716e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.000984732,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
290,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,-3.40903e-12,-1.13717e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.000955519,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
300,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,0,-1.13717e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.000927158,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
310,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,-3.40903e-12,-1.13718e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.000899638,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
320,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,0,-1.13718e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.000864114,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
330,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,-3.40903e-12,-1.13719e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.000838466,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
340,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,0,-1.13719e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.000813579,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
350,-3.2124e-12,2.52135e-38,-1.56902e-06,-3.27827e-12,2.52111e-38,-3.40903e-12,-1.1372e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368616704,537183607,-1368616704,537183607,49215342,-1368616704,-1368604256,-1368604256,0,-0.261799,0.000789431,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
