timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OT
190,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13712e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00136356,-1.5,nan,0,0,3,0,0,0,0,0,0
200,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13712e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00132309,-1.5,nan,0,0,3,0,0,0,0,0,0
210,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13713e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00128381,-1.5,nan,0,0,3,0,0,0,0,0,0
220,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13714e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00124321,-1.5,nan,0,0,3,0,0,0,0,0,0
230,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13714e-13,0,0,-2.4667,-0.0265307,-0.12749,0,0,0,0,0,1.5333,-0.0265307,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.00119407,-1.5,nan,0,0,3,0,0,0,0,0,0
240,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13715e-13,0,0,-2.4667,-0.0265307,-0.12749,0,0,0,0,0,1.5333,-0.0265307,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.00116098,-1.5,nan,0,0,3,0,0,0,0,0,0
250,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13715e-13,0,0,-2.4667,-0.0265307,-0.12749,0,0,0,0,0,1.5333,-0.0265307,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.00113338,-1.5,nan,0,0,3,0,0,0,0,0,0
260,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13716e-13,0,0,-2.4667,-0.0265307,-0.12749,0,0,0,0,0,1.5333,-0.0265307,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.00109527,-1.5,nan,0,0,3,0,0,0,0,0,0
270,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13716e-13,0,0,-2.4667,-0.0265307,-0.12749,0,0,0,0,0,1.5333,-0.0265307,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.00106061,-1.5,nan,0,0,3,0,0,0,0,0,0
280,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13717e-13,0,0,-2.4667,-0.0265307,-0.12749,0,0,0,0,0,1.5333,-0.0265307,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.00102913,-1.5,nan,0,0,3,0,0,0,0,0,0
290,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,-3.92437e-12,-1.13717e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000996557,-1.5,nan,0,0,3,0,0,0,0,0,0
300,-3.34124e-12,1.79961e-38,-1.60394e-06,-3.40794e-12,1.79949e-38,0,-1.13718e-13,0,0,-2.49604,-0.0409666,-0.111576,0,0,0,0,0,1.50396,-0.0409666,-1367297176,-1367297176,-1367297176,-1367297176,-1367297136,328653909,-1499737267,-1367297136,0,-0.261799,0.000966978,-1.5,nan,0,0,3,0,0,0,0,0,0
