timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OTfiltered_vx,filtered_vy
190,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06594e-13,0,0,-3.16042,0.10644,-0.0680089,0,0,0,0,0,0.281621,0.10644,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.0317648,-0.261799,0.000745305,-1.5,0,0,0,3,0.347116,0.119104,0,0,0,0,0.257087,-0.161312
200,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06596e-13,0,0,-3.13924,0.0565345,-0.0780121,0,0,0,0,0,0.297369,0.0565345,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.175608,-0.261799,0.000714452,-1.5,0,0,0,3,0.298294,0.0957794,0,0,0,0,0.0222025,-0.245156
210,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06594e-13,0,0,-3.13924,0.0565345,-0.0780121,0,0,0,0,0,0.297369,0.0565345,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.182567,-0.261799,0.000687621,-1.5,0,0,0,3,0.298716,0.0911215,0,0,0,0,0.0222025,-0.245156
220,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06597e-13,0,0,-3.15372,0.0547771,-0.0670197,0,0,0,0,0,0.280135,0.0547771,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.190492,-0.261799,0.000651015,-1.5,0,0,0,3,0.299315,0.0845283,0,0,0,0,0.0222023,-0.243675
230,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06594e-13,0,0,-4.16554,-4.45453,-0.00969401,0,0,0,0,0,-1.57957,-4.45453,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.14777,-0.261799,0.000616357,-1.5,0,0,0,3,0.296881,0.087573,0,0,0,0,-0.0102924,-0.21431
240,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06594e-13,0,0,-3.12799,0.0447537,-0.0792984,0,0,0,0,0,0.308374,0.0447537,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.261799,-0.261799,0.000586039,-1.5,0,0,0,3,0.302301,0.042195,0,0,0,0,0.0234514,-0.349485
250,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06597e-13,0,0,-3.12799,0.0447537,-0.0792984,0,0,0,0,0,0.308374,0.0447537,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.261799,-0.261799,0.000562898,-1.5,0,0,0,3,0.30277,0.0352053,0,0,0,0,0.0234514,-0.349485
260,-3.11472e-12,1.68528e-38,1.68611e-38,-3.18057e-12,1.6874e-38,0,-1.06595e-13,0,0,-3.12395,0.0566764,-0.0776045,0,0,0,0,0,0.315263,0.0566764,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.261799,-0.261799,0.000534037,-1.5,0,0,0,3,0.310681,0.0516912,0,0,0,0,0.0619988,-0.270539
270,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06596e-13,0,0,-3.14645,0.0726125,-0.0550136,0,0,0,0,0,0.291846,0.0726125,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.261799,-0.261799,0.000507704,-1.5,0,0,0,3,0.30586,0.0461787,0,0,0,0,0.0330364,-0.271376
280,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06595e-13,0,0,-3.14645,0.0726125,-0.0550136,0,0,0,0,0,0.291846,0.0726125,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.261799,-0.261799,0.000487639,-1.5,0,0,0,3,0.30652,0.0407512,0,0,0,0,0.0330364,-0.271376
290,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06596e-13,0,0,-3.15253,0.0704711,-0.0520584,0,0,0,0,0,0.284353,0.0704711,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.239463,-0.261799,0.000463594,-1.5,0,0,0,3,0.295205,0.0458839,0,0,0,0,-0.00250317,-0.236933
300,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.066e-13,0,0,-3.14744,0.0769619,-0.0495809,0,0,0,0,0,0.291486,0.0769619,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.196773,-0.261799,0.000432539,-1.5,0,0,0,3,0.292399,0.0506856,0,0,0,0,-0.0158497,-0.209613
310,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.066e-13,0,0,-3.1184,0.0722294,-0.0598183,0,0,0,0,0,0.324575,0.0722294,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.177301,-0.261799,0.000406964,-1.5,0,0,0,3,0.296823,0.0518245,0,0,0,0,0.00124722,-0.195943
320,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.066e-13,0,0,-3.11057,0.0742797,-0.0637814,0,0,0,0,0,0.334101,0.0742797,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.184128,-0.261799,0.000389329,-1.5,0,0,0,3,0.319335,0.0475113,0,0,0,0,0.0506387,-0.196238
330,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06595e-13,0,0,-3.11057,0.0742797,-0.0637814,0,0,0,0,0,0.334101,0.0742797,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.189698,-0.261799,0.000375474,-1.5,0,0,0,3,0.320297,0.0437828,0,0,0,0,0.0506387,-0.196238
340,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06601e-13,0,0,-3.13134,0.0809475,-0.0467365,0,0,0,0,0,0.311027,0.0809475,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.133378,-0.261799,0.000355462,-1.5,0,0,0,3,0.311911,0.0549751,0,0,0,0,0.0318696,-0.165777
350,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06602e-13,0,0,-3.14839,0.0789805,-0.0424336,0,0,0,0,0,0.290731,0.0789805,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.144788,-0.261799,0.000335816,-1.5,0,0,0,3,0.311381,0.0496018,0,0,0,0,0.0317335,-0.168379
360,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06598e-13,0,0,-3.10005,0.0804803,-0.0565561,0,0,0,0,0,0.347521,0.0804803,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.142429,-0.261799,0.000318651,-1.5,0,0,0,3,0.31397,0.047426,0,0,0,0,0.0321457,-0.164064
370,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06597e-13,0,0,-3.10005,0.0804803,-0.0565561,0,0,0,0,0,0.347521,0.0804803,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.147331,-0.261799,0.000306057,-1.5,0,0,0,3,0.314613,0.0441447,0,0,0,0,0.0321457,-0.164064
380,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06598e-13,0,0,-3.10632,0.0833689,-0.0553084,0,0,0,0,0,0.340719,0.0833689,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.118892,-0.261799,0.000290347,-1.5,0,0,0,3,0.327549,0.0501069,0,0,0,0,0.0547455,-0.149039
390,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06599e-13,0,0,-3.14042,0.0814519,-0.0194833,0,0,0,0,0,0.3005,0.0814519,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.123974,-0.261799,0.000275443,-1.5,0,0,0,3,0.319264,0.0463726,0,0,0,0,0.0379825,-0.148658
400,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06599e-13,0,0,-3.10738,0.0780931,-0.0435992,0,0,0,0,0,0.338522,0.0780931,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.0876677,-0.261799,0.0002619,-1.5,0,0,0,3,0.328498,0.0545475,0,0,0,0,0.0500823,-0.130124
410,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06598e-13,0,0,-3.10738,0.0780931,-0.0435992,0,0,0,0,0,0.338522,0.0780931,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.0917502,-0.261799,0.000251034,-1.5,0,0,0,3,0.32955,0.0518149,0,0,0,0,0.0500823,-0.130124
420,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06602e-13,0,0,-3.11531,0.075317,-0.0436748,0,0,0,0,0,0.328745,0.075317,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.0736594,-0.261799,0.000238642,-1.5,0,0,0,3,0.331663,0.0545047,0,0,0,0,0.0520108,-0.119299
430,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06602e-13,0,0,-3.1185,0.0761833,-0.0311976,0,0,0,0,0,0.325171,0.0761833,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.059798,-0.261799,0.000225453,-1.5,0,0,0,3,0.331073,0.055528,0,0,0,0,0.0479795,-0.109813
440,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06599e-13,0,0,-3.1185,0.0761833,-0.0311976,0,0,0,0,0,0.325171,0.0761833,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.0622589,-0.261799,0.000218761,-1.5,0,0,0,3,0.331793,0.0538808,0,0,0,0,0.0479795,-0.109813
450,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06603e-13,0,0,-3.1185,0.0761833,-0.0311976,0,0,0,0,0,0.325171,0.0761833,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.0138033,-0.261799,0.000209254,-1.5,0,0,0,3,0.328664,0.0615039,0,0,0,0,0.042799,-0.0812998
460,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06603e-13,0,0,-3.12101,0.0759247,-0.0315266,0,0,0,0,0,0.322193,0.0759247,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.00414724,-0.261799,0.000197345,-1.5,0,0,0,3,0.330963,0.0636055,0,0,0,0,0.044811,-0.0762874
470,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06602e-13,0,0,-3.12101,0.0759247,-0.0315266,0,0,0,0,0,0.322193,0.0759247,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.00631272,-0.261799,0.00018994,-1.5,0,0,0,3,0.331814,0.062156,0,0,0,0,0.044811,-0.0762874
480,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.066e-13,0,0,-3.11954,0.080532,-0.0217309,0,0,0,0,0,0.324752,0.080532,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,-0.0264148,-0.261799,0.000180564,-1.5,0,0,0,3,0.330742,0.066687,0,0,0,0,0.0422203,-0.0563194
490,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06601e-13,0,0,-3.13824,0.075943,-0.0184948,0,0,0,0,0,0.302048,0.075943,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,-0.0210798,-0.261799,0.000170229,-1.5,0,0,0,3,0.328623,0.0650424,0,0,0,0,0.0387118,-0.0585332
500,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06603e-13,0,0,-3.12654,0.0785855,-0.0271703,0,0,0,0,0,0.316207,0.0785855,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,-0.0406875,-0.261799,0.000161201,-1.5,0,0,0,3,0.32745,0.0665695,0,0,0,0,0.036758,-0.0452054
