timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OTfiltered_vx,filtered_vy
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00779127,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00752934,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
30,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,-3.40903e-12,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00171557,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
40,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,0,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00166805,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
50,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,-3.40903e-12,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00159884,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
60,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,0,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.0015325,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
70,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,-3.40903e-12,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00146898,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
80,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,0,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00141386,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
90,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,-3.40903e-12,-1.13706e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00129971,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
100,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,0,-1.13706e-13,0,0,-3.31998,-0.277655,-0.278621,0,0,0,0,0,0.0274875,-0.277654,-1368604256,1235384750,-1368604256,1235384750,-2030979040,-1368604256,-1368604208,-1368604208,0,-0.261799,0.00114627,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
110,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,-3.40903e-12,-1.13707e-13,0,0,-3.35091,-0.227498,-0.309777,0,0,0,0,0,0.000416517,-0.227498,-1368604256,1235384750,-1368604256,1235384750,-2030979040,-1368604256,-1368604208,-1368604208,0,-0.261799,0.00109425,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
120,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,0,-1.13708e-13,0,0,-3.34985,-0.220116,-0.33388,0,0,0,0,0,0.00293946,-0.220116,-1368604256,1235384750,-1368604256,1235384750,-2030979040,-1368604256,-1368604208,-1368604208,0,-0.261799,0.0010489,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
130,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,-3.40903e-12,-1.13708e-13,0,0,-3.35213,-0.227005,-0.326025,0,0,0,0,0,-0.00090456,-0.227005,-1368604256,1235384750,-1368604256,1235384750,-2030979040,-1368604256,-1368604208,-1368604208,0,-0.261799,0.000978634,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
140,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,0,-1.13709e-13,0,0,-3.35213,-0.227005,-0.326025,0,0,0,0,0,-0.00090456,-0.227005,-1368604256,1235384750,-1368604256,1235384750,-2030979040,-1368604256,-1368604208,-1368604208,0,-0.261799,0.000939956,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
150,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,-3.40903e-12,-1.13709e-13,0,0,-3.35213,-0.227005,-0.326025,0,0,0,0,0,-0.00090456,-0.227005,-1368604256,1235384750,-1368604256,1235384750,-2030979040,-1368604256,-1368604208,-1368604208,0,-0.261799,0.000900993,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
160,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,0,-1.1371e-13,0,0,-3.35213,-0.227005,-0.326025,0,0,0,0,0,-0.00090456,-0.227005,-1368604256,1235384750,-1368604256,1235384750,-2030979040,-1368604256,-1368604208,-1368604208,0,-0.261799,0.000868955,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
170,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,-3.40903e-12,-1.1371e-13,0,0,-3.35213,-0.227005,-0.326025,0,0,0,0,0,-0.00090456,-0.227005,-1368604256,1235384750,-1368604256,1235384750,-2030979040,-1368604256,-1368604208,-1368604208,0,-0.261799,0.000836322,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
180,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,0,-1.13711e-13,0,0,-3.33991,-0.234001,-0.337644,0,0,0,0,0,0.0120373,-0.234001,-1368604256,1235384750,-1368604256,1235384750,-2030979040,-1368604256,-1368604208,-1368604208,0.261799,-0.261799,0.000776932,-1.5,3.94113e+12,0,0,3,0.014719,-0.237072,0,0,0,0,0.0744923,-0.0853164
190,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,-3.40903e-12,-1.13711e-13,0,0,-3.35905,-0.252295,-0.375474,0,0,0,0,0,-0.0133424,-0.252295,-1368604256,1235384750,-1368604256,1235384750,-2030979040,-1368604256,-1368604208,-1368604208,0.261799,-0.261799,0.000744727,-1.5,3.94113e+12,0,0,3,-0.0113814,-0.245779,0,0,0,0,-0.0753731,-0.135069
200,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,0,-1.13712e-13,0,0,-3.36193,-0.261541,-0.355804,0,0,0,0,0,-0.0182924,-0.261541,-1368604256,1235384750,-1368604256,1235384750,-2030979040,-1368604256,-1368604208,-1368604208,0.261799,-0.261799,0.000712442,-1.5,3.94113e+12,0,0,3,-0.0174851,-0.260483,0,0,0,0,-0.0963425,-0.190408
210,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,-3.40903e-12,-1.13712e-13,0,0,-3.36193,-0.261541,-0.355804,0,0,0,0,0,-0.0182924,-0.261541,-1368604256,1235384750,-1368604256,1235384750,-2030979040,-1368604256,-1368604208,-1368604208,0.261799,-0.261799,0.000681511,-1.5,3.94113e+12,0,0,3,-0.0196046,-0.264672,0,0,0,0,-0.0963425,-0.190408
220,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,0,-1.13713e-13,0,0,-3.3826,-0.298546,-0.333207,0,0,0,0,0,-0.0486875,-0.298546,-1368604256,1235384750,-1368604256,1235384750,-2030979040,-1368604256,-1368604208,-1368604208,0.261799,-0.261799,0.000651922,-1.5,3.94113e+12,0,0,3,-0.0238357,-0.272357,0,0,0,0,-0.104591,-0.204065
230,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,-3.40903e-12,-1.13719e-13,0,0,-3.40145,-0.348149,-0.2871,0,0,0,0,0,-0.0790973,-0.348149,-1368604256,1235384750,-1368604256,1235384750,-2030979040,-1368604256,-1368604208,-1368604208,0.261799,-0.261799,0.000622408,-1.5,3.94113e+12,0,0,3,-0.0261817,-0.276909,0,0,0,0,-0.10684,-0.209376
240,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,0,-1.13714e-13,0,0,-3.40145,-0.348149,-0.2871,0,0,0,0,0,-0.0790973,-0.348149,-1368604256,1235384750,-1368604256,1235384750,-2030979040,-1368604256,-1368604208,-1368604208,0.261799,-0.261799,0.000596584,-1.5,3.94113e+12,0,0,3,-0.0284253,-0.281306,0,0,0,0,-0.10684,-0.209376
250,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,-3.40903e-12,-1.1372e-13,0,0,-3.41046,-0.405838,-0.269067,0,0,0,0,0,-0.0994892,-0.405838,-1368604256,1235384750,-1368604256,1235384750,-2030979040,-1368604256,-1368604208,-1368604208,0.261799,-0.261799,0.000569483,-1.5,3.94113e+12,0,0,3,-0.0683082,-0.328356,0,0,0,0,-0.231392,-0.350001
260,-3.72118e-12,1.75659e-38,-1.58485e-06,-3.85292e-12,1.75647e-38,0,-1.13714e-13,0,0,-3.35182,-0.420485,-0.271166,0,0,0,0,0,-0.0343428,-0.420485,-1368604256,1235384750,-1368604256,1235384750,-2030979040,-1368604256,-1368604208,-1368604208,0.261799,-0.261799,0.00054368,-1.5,3.94113e+12,0,0,3,-0.0341813,-0.38803,0,0,0,0,-0.110662,-0.551139
