timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OT
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.0062205,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0
20,-3.21068e-12,0,-1.57041e-06,-3.27738e-12,0,0,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00161093,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0
30,-3.21068e-12,0,-1.57041e-06,-3.27738e-12,0,-3.40903e-12,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00156947,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0
40,-3.21068e-12,0,-1.57041e-06,-3.27738e-12,0,0,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00130403,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0
50,-3.21068e-12,0,-1.57041e-06,-3.27738e-12,0,-3.40903e-12,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00125254,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0
60,-3.21068e-12,0,-1.57041e-06,-3.27738e-12,0,0,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.001028,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0
70,-3.21068e-12,0,-1.57041e-06,-3.27738e-12,0,-3.40903e-12,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,-1368604256,-436093444,-1368604256,-436093444,-1450951726,-1368604256,-1368604208,-1368604208,0,-0.261799,0.00098741,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0
80,-3.21068e-12,0,-1.57041e-06,-3.27738e-12,0,0,-1.13706e-13,0,0,-3.2768,0.00874262,0.402243,0,0,0,0,0,0.723196,0.00874262,-1368604256,-436093444,-1368604256,-436093444,-1450951726,-1368604256,-1368604208,-1368604208,0,-0.261799,0.000940612,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0
90,-3.21068e-12,0,-1.57041e-06,-3.27738e-12,0,-3.40903e-12,-1.13706e-13,0,0,-3.26837,0.00979827,0.396484,0,0,0,0,0,0.731627,0.00979827,-1368604256,-436093444,-1368604256,-436093444,-1450951726,-1368604256,-1368604208,-1368604208,0,-0.261799,0.000790507,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0
100,-3.21068e-12,0,-1.57041e-06,-3.27738e-12,0,0,-1.13707e-13,0,0,-3.35237,-0.00312892,0.443547,0,0,0,0,0,0.647628,-0.00312892,-1368604256,-436093444,-1368604256,-436093444,-1450951726,-1368604256,-1368604208,-1368604208,0,-0.261799,0.000756152,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0
