timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OTfiltered_vx,filtered_vy
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00623302,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00602347,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
30,-3.1147e-12,0,-1.49917e-06,-3.18057e-12,0,-3.5911e-12,-1.06589e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00138429,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
40,-3.1147e-12,0,-1.49917e-06,-3.18057e-12,0,0,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00135138,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
50,-3.1147e-12,0,-1.49917e-06,-3.18057e-12,0,-3.5911e-12,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00129537,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
60,-3.1147e-12,0,-1.49917e-06,-3.18057e-12,0,0,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00124927,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
70,-3.1147e-12,0,-1.49917e-06,-3.18057e-12,0,-3.5911e-12,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00119748,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
80,-3.1147e-12,0,-1.49917e-06,-3.18057e-12,0,0,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00115016,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
90,-3.1147e-12,0,-1.49917e-06,-3.18057e-12,0,-3.5911e-12,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00100534,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
100,-3.1147e-12,0,-1.49917e-06,-3.18057e-12,0,0,-1.06591e-13,0,0,-3.30499,-0.00114554,0.0303213,0,0,0,0,0,0.0935373,-0.00114554,-1367900288,21203136,-1367900288,21203136,250341897,-1367900288,-1367900256,-1367900256,0,-0.261799,0.000937901,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
