timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OT,filtered_vx,filtered_vygateArearansac_corr_x,ransac_corr_y,ransac_corr_vx,ransac_corr_vy,detectionTimeStamp
7880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.0141372,-1.5,2.51931e-09,0,0,2,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0,0
8861,-3.2133e-12,2.22871e-38,-1.54527e-06,-3.27827e-12,2.22859e-38,0,-1.06589e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,1.55509,-1.5,2.51931e-09,0,0,2,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0,0
8904,-3.2133e-12,2.22871e-38,-1.54527e-06,-3.27827e-12,2.22859e-38,-3.40903e-12,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,1.62106,-1.5,2.51931e-09,0,0,2,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0,0
9140,-3.2133e-12,2.22871e-38,-1.54527e-06,-3.27827e-12,2.22859e-38,0,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,1.99334,-1.5,2.51931e-09,0,0,2,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0,0
9390,-3.2133e-12,2.22871e-38,-1.54527e-06,-3.27827e-12,2.22859e-38,-3.40903e-12,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,2.38569,-1.5,2.51931e-09,0,0,2,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0,0
9427,-3.2133e-12,2.22871e-38,-1.54527e-06,-3.27827e-12,2.22859e-38,0,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,2.44078,-1.5,2.51931e-09,0,0,2,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0,0
9593,-3.2133e-12,2.22871e-38,-1.54527e-06,-3.27827e-12,2.22859e-38,-3.40903e-12,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,2.66848,-1.5,2.51931e-09,0,0,2,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0,0
9639,-3.2133e-12,2.22871e-38,-1.54527e-06,-3.27827e-12,2.22859e-38,0,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,2.71225,-1.5,2.51931e-09,0,0,2,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0,0
9674,-3.2133e-12,2.22871e-38,-1.54527e-06,-3.27827e-12,2.22859e-38,-3.40903e-12,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,2.7419,-1.5,2.51931e-09,0,0,2,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0,0
9780,-3.2133e-12,2.22871e-38,-1.54527e-06,-3.27827e-12,2.22859e-38,0,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,2.82535,-1.5,2.51931e-09,0,0,2,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0,0
9853,-3.2133e-12,2.22871e-38,-1.54527e-06,-3.27827e-12,2.22859e-38,-3.40903e-12,-1.06592e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,2.87083,-1.5,2.51931e-09,0,0,2,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0,0
9873,-3.2133e-12,2.22871e-38,-1.54527e-06,-3.27827e-12,2.22859e-38,0,-1.06592e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,2.88153,-1.5,2.51931e-09,0,0,2,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0,0
9890,-3.2133e-12,2.22871e-38,-1.54527e-06,-3.27827e-12,2.22859e-38,-3.40903e-12,-1.06592e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,2.89027,-1.5,2.51931e-09,0,0,2,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0,0
10000,-3.2133e-12,2.22871e-38,-1.54527e-06,-3.27827e-12,2.22859e-38,0,-1.06593e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,2.94472,-1.5,2.51931e-09,0,0,2,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0,0
10045,-3.2133e-12,2.22871e-38,-1.54527e-06,-3.27827e-12,2.22859e-38,-3.40903e-12,-1.06593e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,2.96219,-1.5,2.51931e-09,0,0,2,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0,0
