timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OTfiltered_vx,filtered_vy
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.0062205,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00601138,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
30,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,-3.40903e-12,-1.06589e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00146417,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
40,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,0,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00142359,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
50,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,-3.40903e-12,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00137017,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
60,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,0,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00131602,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
70,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,-3.40903e-12,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00126401,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
80,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,0,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00121658,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
90,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,-3.40903e-12,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00104428,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
100,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,0,-1.06591e-13,0,0,-3.43175,0.218462,-0.127786,0,0,0,0,0,0.568254,0.218462,-1367821464,-1367821464,-1367821464,-1367821464,-1367821424,1902061014,659630286,-1367821424,0,-0.261799,0.000963953,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
110,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,-3.40903e-12,-1.06591e-13,0,0,-3.39923,0.213912,-0.137573,0,0,0,0,0,0.600775,0.213912,-1367821464,-1367821464,-1367821464,-1367821464,-1367821424,1902061014,659630286,-1367821424,0,-0.261799,0.000923958,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
120,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,0,-1.06592e-13,0,0,-3.39923,0.213912,-0.137573,0,0,0,0,0,0.600775,0.213912,-1367821464,-1367821464,-1367821464,-1367821464,-1367821424,1902061014,659630286,-1367821424,0,-0.261799,0.000887441,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
130,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,-3.40903e-12,-1.06592e-13,0,0,-3.39923,0.213912,-0.137573,0,0,0,0,0,0.600775,0.213912,-1367821464,-1367821464,-1367821464,-1367821464,-1367821424,1902061014,659630286,-1367821424,0,-0.261799,0.000854113,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
140,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,0,-1.06592e-13,0,0,-3.43236,0.221239,-0.12502,0,0,0,0,0,0.567642,0.221239,-1367821464,-1367821464,-1367821464,-1367821464,-1367821424,1902061014,659630286,-1367821424,0,-0.261799,0.000820357,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
150,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,-3.40903e-12,-1.06593e-13,0,0,-3.34307,0.18191,-0.157176,0,0,0,0,0,0.656925,0.18191,-1367821464,-1367821464,-1367821464,-1367821464,-1367821424,1902061014,659630286,-1367821424,0,-0.261799,0.000784741,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
160,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,0,-1.06593e-13,0,0,-3.34307,0.18191,-0.157176,0,0,0,0,0,0.656925,0.18191,-1367821464,-1367821464,-1367821464,-1367821464,-1367821424,1902061014,659630286,-1367821424,0,-0.261799,0.000756815,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
170,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,-3.40903e-12,-1.06593e-13,0,0,-3.38808,0.196637,-0.132977,0,0,0,0,0,0.61192,0.196637,-1367821464,-1367821464,-1367821464,-1367821464,-1367821424,1902061014,659630286,-1367821424,-0.261799,-0.261799,0.000713497,-1.5,nan,0,0,3,0.614614,0.192463,0,0,0,0,0.092879,-0.143953
180,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,0,-1.06593e-13,0,0,-3.4427,0.211667,-0.116053,0,0,0,0,0,0.557303,0.211667,-1367821464,-1367821464,-1367821464,-1367821464,-1367821424,1902061014,659630286,-1367821424,-0.261799,-0.261799,0.00068117,-1.5,nan,0,0,3,0.554903,0.211543,0,0,0,0,-0.266699,-0.0137729
190,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,-3.40903e-12,-1.06594e-13,0,0,-3.4427,0.211667,-0.116053,0,0,0,0,0,0.557303,0.211667,-1367821464,-1367821464,-1367821464,-1367821464,-1367821424,1902061014,659630286,-1367821424,-0.261799,-0.261799,0.000662292,-1.5,nan,0,0,3,0.551169,0.21135,0,0,0,0,-0.266699,-0.0137729
200,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,0,-1.06594e-13,0,0,-3.42341,0.215256,-0.12924,0,0,0,0,0,0.576594,0.215256,-1367821464,-1367821464,-1367821464,-1367821464,-1367821424,1902061014,659630286,-1367821424,-0.261799,-0.261799,0.000632285,-1.5,nan,0,0,3,0.575251,0.211033,0,0,0,0,-0.122125,-0.0137726
210,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,-3.40903e-12,-1.06594e-13,0,0,-3.42341,0.215256,-0.12924,0,0,0,0,0,0.576594,0.215256,-1367821464,-1367821464,-1367821464,-1367821464,-1367821424,1902061014,659630286,-1367821424,-0.261799,-0.261799,0.000606051,-1.5,nan,0,0,3,0.572686,0.210744,0,0,0,0,-0.122125,-0.0137726
220,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,0,-1.06594e-13,0,0,-3.43571,0.208892,-0.128822,0,0,0,0,0,0.564286,0.208892,-1367821464,-1367821464,-1367821464,-1367821464,-1367821424,1902061014,659630286,-1367821424,-0.261799,-0.261799,0.000577327,-1.5,nan,0,0,3,0.560478,0.208368,0,0,0,0,-0.158648,-0.0218245
230,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,-3.40903e-12,-1.06597e-13,0,0,-3.4529,0.209549,-0.116597,0,0,0,0,0,0.547102,0.209549,-1367821464,-1367821464,-1367821464,-1367821464,-1367821424,1902061014,659630286,-1367821424,-0.261799,-0.261799,0.00052301,-1.5,nan,0,0,3,0.557328,0.209494,0,0,0,0,-0.145758,-0.0147973
240,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,0,-1.06595e-13,0,0,-3.4529,0.209549,-0.116597,0,0,0,0,0,0.547102,0.209549,-1367821464,-1367821464,-1367821464,-1367821464,-1367821424,1902061014,659630286,-1367821424,-0.261799,-0.261799,0.000494104,-1.5,nan,0,0,3,0.553246,0.20908,0,0,0,0,-0.145758,-0.0147973
250,-3.2124e-12,8.75736e-38,-1.55272e-06,-3.27827e-12,8.75688e-38,-3.40903e-12,-1.06595e-13,0,0,-3.41652,0.19687,-0.130556,0,0,0,0,0,0.583482,0.19687,-1367821464,-1367821464,-1367821464,-1367821464,-1367821424,1902061014,659630286,-1367821424,-0.261799,-0.261799,0.000469713,-1.5,nan,0,0,3,0.559492,0.208939,0,0,0,0,-0.105599,-0.0136407
