timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00779127,-1.5,3.94113e+12,0,0,3,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00754468,-1.5,3.94113e+12,0,0,3,0,0
30,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,-3.96878e-12,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00176761,-1.5,3.94113e+12,0,0,3,0,0
40,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,0,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00171863,-1.5,3.94113e+12,0,0,3,0,0
50,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,-3.96878e-12,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00146509,-1.5,3.94113e+12,0,0,3,0,0
60,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,0,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00140431,-1.5,3.94113e+12,0,0,3,0,0
70,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,-3.96878e-12,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00117783,-1.5,3.94113e+12,0,0,3,0,0
80,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,0,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00112896,-1.5,3.94113e+12,0,0,3,0,0
90,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,-3.96878e-12,-1.13706e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00108212,-1.5,3.94113e+12,0,0,3,0,0
100,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,0,-1.13706e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000909435,-1.5,3.94113e+12,0,0,3,0,0
110,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,-3.96878e-12,-1.13707e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000871702,-1.5,3.94113e+12,0,0,3,0,0
120,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,0,-1.13708e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000730878,-1.5,3.94113e+12,0,0,3,0,0
130,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,-3.96878e-12,-1.13708e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000699115,-1.5,3.94113e+12,0,0,3,0,0
140,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,0,-1.13709e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000670108,-1.5,3.94113e+12,0,0,3,0,0
150,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,-3.96878e-12,-1.13709e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000561852,-1.5,3.94113e+12,0,0,3,0,0
160,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,0,-1.1371e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00053854,-1.5,3.94113e+12,0,0,3,0,0
170,-3.34123e-12,6.01641e-38,6.01973e-38,-3.40794e-12,6.02486e-38,-3.96878e-12,-1.1371e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000515159,-1.5,3.94113e+12,0,0,3,0,0
180,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,0,-1.13711e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000430056,-1.5,3.94113e+12,0,0,3,0,0
190,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,-3.96878e-12,-1.13711e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00041223,-1.5,3.94113e+12,0,0,3,0,0
200,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,0,-1.13712e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000395126,-1.5,3.94113e+12,0,0,3,0,0
210,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,-3.96878e-12,-1.13712e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000332071,-1.5,3.94113e+12,0,0,3,0,0
220,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,0,-1.13713e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000317639,-1.5,3.94113e+12,0,0,3,0,0
230,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,-3.96878e-12,-1.13714e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00030446,-1.5,3.94113e+12,0,0,3,0,0
240,-3.34121e-12,6.02534e-38,-1.61093e-06,-3.40794e-12,6.02486e-38,0,-1.13714e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000293036,-1.5,3.94113e+12,0,0,3,0,0
