timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OT,filtered_vx,filtered_vygateArea
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.0062205,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.0060604,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
30,-3.1147e-12,1.48299e-38,-1.51966e-06,-3.18057e-12,1.48287e-38,-3.62841e-12,-1.06589e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000237603,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
40,-3.1147e-12,1.48299e-38,-1.51966e-06,-3.18057e-12,1.48287e-38,0,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000231486,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
50,-3.1147e-12,1.48299e-38,-1.51966e-06,-3.18057e-12,1.48287e-38,-3.62841e-12,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000225526,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
60,-3.1147e-12,1.48299e-38,-1.51966e-06,-3.18057e-12,1.48287e-38,0,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000218393,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
70,-3.1147e-12,1.48299e-38,-1.51966e-06,-3.18057e-12,1.48287e-38,-3.62841e-12,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000211485,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
80,-3.1147e-12,1.48299e-38,-1.51966e-06,-3.18057e-12,1.48287e-38,0,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000205208,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
90,-3.1147e-12,1.48299e-38,-1.51966e-06,-3.18057e-12,1.48287e-38,-3.62841e-12,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000198713,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
100,-3.1147e-12,1.48299e-38,-1.51966e-06,-3.18057e-12,1.48287e-38,0,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000190476,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
