timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OTfiltered_vx,filtered_vy
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.0062205,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00601138,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
30,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,-3.62841e-12,-1.06589e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00141979,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
40,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,0,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00136093,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
50,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,-3.62841e-12,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00130452,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
60,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,0,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00125557,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
70,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,-3.62841e-12,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00114664,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
80,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,0,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00106082,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
90,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,-3.62841e-12,-1.06591e-13,0,0,-3.25088,0.245939,-0.0649359,0,0,0,0,0,0.200566,0.0459387,-1368083608,-1368083608,-1368083608,-1368083608,-1368083568,736879574,1459190530,-1368083568,0,-0.261799,0.00101477,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
100,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,0,-1.06591e-13,0,0,-3.25088,0.245939,-0.0649359,0,0,0,0,0,0.200566,0.0459387,-1368083608,-1368083608,-1368083608,-1368083608,-1368083568,736879574,1459190530,-1368083568,0,-0.261799,0.000974659,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
110,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,-3.62841e-12,-1.06591e-13,0,0,-3.19724,0.255945,-0.0979306,0,0,0,0,0,0.265344,0.0559451,-1368083608,-1368083608,-1368083608,-1368083608,-1368083568,736879574,1459190530,-1368083568,0,-0.261799,0.000920792,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
120,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,0,-1.06592e-13,0,0,-3.2203,0.246013,-0.0821666,0,0,0,0,0,0.23649,0.0460129,-1368083608,-1368083608,-1368083608,-1368083608,-1368083568,736879574,1459190530,-1368083568,0,-0.261799,0.000879006,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
130,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,-3.62841e-12,-1.06592e-13,0,0,-3.21226,0.24737,-0.0932681,0,0,0,0,0,0.246174,0.0473699,-1368083608,-1368083608,-1368083608,-1368083608,-1368083568,736879574,1459190530,-1368083568,0,-0.261799,0.000839076,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
140,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,0,-1.06592e-13,0,0,-3.24709,0.243478,-0.0809144,0,0,0,0,0,0.204584,0.0434777,-1368083608,-1368083608,-1368083608,-1368083608,-1368083568,736879574,1459190530,-1368083568,0.0781829,-0.261799,0.000791342,-1.5,nan,0,0,3,0.193409,0.0417478,0,0,0,0,-0.698402,-0.108118
150,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,-3.62841e-12,-1.06593e-13,0,0,-3.20144,0.234471,-0.106474,0,0,0,0,0,0.256563,0.034471,-1368083608,-1368083608,-1368083608,-1368083608,-1368083568,736879574,1459190530,-1368083568,0.166653,-0.261799,0.000755394,-1.5,nan,0,0,3,0.217983,0.0347594,0,0,0,0,-0.375889,-0.168141
160,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,0,-1.06593e-13,0,0,-3.20144,0.234471,-0.106474,0,0,0,0,0,0.256563,0.034471,-1368083608,-1368083608,-1368083608,-1368083608,-1368083568,736879574,1459190530,-1368083568,0.171928,-0.261799,0.000724052,-1.5,nan,0,0,3,0.210089,0.0312285,0,0,0,0,-0.375889,-0.168141
170,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,-3.62841e-12,-1.06593e-13,0,0,-3.25583,0.245336,-0.0810988,0,0,0,0,0,0.194647,0.0453358,-1368083608,-1368083608,-1368083608,-1368083608,-1368083568,736879574,1459190530,-1368083568,0.0888434,-0.261799,0.000692617,-1.5,nan,0,0,3,0.184067,0.034612,0,0,0,0,-0.480934,-0.108118
180,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,0,-1.06593e-13,0,0,-3.20205,0.237505,-0.106519,0,0,0,0,0,0.256395,0.0375048,-1368083608,-1368083608,-1368083608,-1368083608,-1368083568,736879574,1459190530,-1368083568,0.0556503,-0.261799,0.00065979,-1.5,nan,0,0,3,0.258473,0.0354983,0,0,0,0,0.0866148,-0.0836035
190,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,-3.62841e-12,-1.06594e-13,0,0,-3.20205,0.237505,-0.106519,0,0,0,0,0,0.256395,0.0375048,-1368083608,-1368083608,-1368083608,-1368083608,-1368083568,736879574,1459190530,-1368083568,0.0576487,-0.261799,0.000638921,-1.5,nan,0,0,3,0.259859,0.0341606,0,0,0,0,0.0866148,-0.0836035
200,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,0,-1.06596e-13,0,0,-3.24597,0.25232,-0.0856369,0,0,0,0,0,0.207474,0.0523201,-1368083608,-1368083608,-1368083608,-1368083608,-1368083568,736879574,1459190530,-1368083568,-0.0439677,-0.261799,0.000611182,-1.5,nan,0,0,3,0.200794,0.0432365,0,0,0,0,-0.269312,-0.0158673
210,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,-3.62841e-12,-1.06597e-13,0,0,-3.23612,0.246694,-0.0943893,0,0,0,0,0,0.218038,0.0466942,-1368083608,-1368083608,-1368083608,-1368083608,-1368083568,736879574,1459190530,-1368083568,-0.0729269,-0.261799,0.000579903,-1.5,nan,0,0,3,0.215213,0.0463436,0,0,0,0,-0.149965,0.0028383
220,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,0,-1.06594e-13,0,0,-3.23612,0.246694,-0.0943893,0,0,0,0,0,0.218038,0.0466942,-1368083608,-1368083608,-1368083608,-1368083608,-1368083568,736879574,1459190530,-1368083568,-0.0730202,-0.261799,0.000554726,-1.5,nan,0,0,3,0.211914,0.046406,0,0,0,0,-0.149965,0.0028383
230,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,-3.62841e-12,-1.06595e-13,0,0,-3.23668,0.253505,-0.0944862,0,0,0,0,0,0.218588,0.0535045,-1368083608,-1368083608,-1368083608,-1368083608,-1368083568,736879574,1459190530,-1368083568,-0.0715328,-0.261799,0.000528435,-1.5,nan,0,0,3,0.210918,0.0461724,0,0,0,0,-0.136481,0.00196266
240,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,0,-1.06594e-13,0,0,-3.23668,0.253505,-0.0944862,0,0,0,0,0,0.218588,0.0535045,-1368083608,-1368083608,-1368083608,-1368083608,-1368083568,736879574,1459190530,-1368083568,-0.0716002,-0.261799,0.000504429,-1.5,nan,0,0,3,0.207779,0.0462175,0,0,0,0,-0.136481,0.00196266
250,-3.1147e-12,4.66107e-38,-1.52245e-06,-3.18057e-12,4.66084e-38,-3.62841e-12,-1.06595e-13,0,0,-3.21364,0.239997,-0.100677,0,0,0,0,0,0.243233,0.0399966,-1368083608,-1368083608,-1368083608,-1368083608,-1368083568,736879574,1459190530,-1368083568,-0.0607987,-0.261799,0.000466676,-1.5,nan,0,0,3,0.209685,0.0443945,0,0,0,0,-0.110945,-0.00425115
