timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OT,filtered_vx,filtered_vygateArearansac_corr_x,ransac_corr_y,ransac_corr_vx,ransac_corr_vy
170,-3.21239e-12,2.63443e-38,-1.55412e-06,-3.27827e-12,2.6342e-38,-3.40903e-12,-1.06593e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000447262,-1.5,-nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0
180,-3.21239e-12,2.63443e-38,-1.55412e-06,-3.27827e-12,2.6342e-38,0,-1.06593e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000433106,-1.5,-nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0
190,-3.21239e-12,2.63443e-38,-1.55412e-06,-3.27827e-12,2.6342e-38,-3.40903e-12,-1.06594e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000410899,-1.5,-nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0
200,-3.21239e-12,2.63443e-38,-1.55412e-06,-3.27827e-12,2.6342e-38,0,-1.06594e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000391446,-1.5,-nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0
210,-3.21239e-12,2.63443e-38,-1.55412e-06,-3.27827e-12,2.6342e-38,-3.40903e-12,-1.06594e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000379064,-1.5,-nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0
220,-3.21239e-12,2.63443e-38,-1.55412e-06,-3.27827e-12,2.6342e-38,0,-1.06594e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000369305,-1.5,-nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19,0,0,0,0
230,-3.21239e-12,2.63443e-38,-1.55412e-06,-3.27827e-12,2.6342e-38,-3.40903e-12,-1.06595e-13,0,0,0,0,0,0,0,0,0,0,0.8,0,1150978811,-1367812512,1150978811,-1367812512,-1367812472,-1367812472,-1367812432,-612562431,0,-0.261799,-0.00034177,-1.5,-nan,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
240,-3.21239e-12,2.63443e-38,-1.55412e-06,-3.27827e-12,2.6342e-38,0,-1.06595e-13,0,0,0,0,0,0,0,0,0,0,0.8,0,1150978811,-1367812512,1150978811,-1367812512,-1367812472,-1367812472,-1367812432,-612562431,0,-0.261799,-0.000329617,-1.5,-nan,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
250,-3.21239e-12,2.63443e-38,-1.55412e-06,-3.27827e-12,2.6342e-38,-3.40903e-12,-1.06595e-13,0,0,0,0,0,0,0,0,0,0,0.8,0,1150978811,-1367812512,1150978811,-1367812512,-1367812472,-1367812472,-1367812432,-612562431,0,-0.261799,-0.000317249,-1.5,-nan,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
260,-3.21239e-12,2.63443e-38,-1.55412e-06,-3.27827e-12,2.6342e-38,0,-1.06596e-13,0,0,0,0,0,0,0,0,0,0,0.8,0,1150978811,-1367812512,1150978811,-1367812512,-1367812472,-1367812472,-1367812432,-612562431,0,-0.261799,-0.000306591,-1.5,-nan,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
