timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OTfiltered_vx,filtered_vy
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00779127,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00756001,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
30,-3.2124e-12,0,-1.5611e-06,-3.27827e-12,0,-3.40903e-12,-1.06589e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00210865,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
40,-3.2124e-12,0,-1.5611e-06,-3.27827e-12,0,0,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00203776,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
50,-3.2124e-12,0,-1.5611e-06,-3.27827e-12,0,-3.40903e-12,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00196926,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
60,-3.2124e-12,0,-1.5611e-06,-3.27827e-12,0,0,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00190306,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
70,-3.2124e-12,0,-1.5611e-06,-3.27827e-12,0,-3.40903e-12,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00183539,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
80,-3.2124e-12,0,-1.5611e-06,-3.27827e-12,0,0,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.0017773,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
90,-3.2124e-12,0,-1.5611e-06,-3.27827e-12,0,-3.40903e-12,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00171755,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
100,-3.2124e-12,0,-1.5611e-06,-3.27827e-12,0,0,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00165647,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
110,-3.2124e-12,0,-1.5611e-06,-3.27827e-12,0,-3.40903e-12,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00151602,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
120,-3.2124e-12,0,-1.5611e-06,-3.27827e-12,0,0,-1.06592e-13,0,0,-3.0423,-0.203501,-0.0651166,0,0,0,0,0,0.957695,-0.203501,-1367817872,-353988274,-1367817872,-353988274,-723738912,-1367817872,-1367817824,-1367817824,0,-0.261799,0.00144118,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
130,-3.2124e-12,0,-1.5611e-06,-3.27827e-12,0,-3.40903e-12,-1.06592e-13,0,0,-3.0695,-0.194412,-0.0640651,0,0,0,0,0,0.930501,-0.194412,-1367817872,-353988274,-1367817872,-353988274,-723738912,-1367817872,-1367817824,-1367817824,0,-0.261799,0.001336,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
140,-3.2124e-12,0,-1.5611e-06,-3.27827e-12,0,0,-1.06592e-13,0,0,-3.09529,-0.181087,-0.0618959,0,0,0,0,0,0.904712,-0.181087,-1367817872,-353988274,-1367817872,-353988274,-723738912,-1367817872,-1367817824,-1367817824,0,-0.261799,0.00128846,-1.5,3.94113e+12,0,0,3,0,0,0,0,0,0,0,0
