timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OTfiltered_vx,filtered_vy
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00623302,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00601138,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
30,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,-3.40903e-12,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00147597,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
40,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,0,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00144088,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
50,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,-3.40903e-12,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00138394,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
60,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,0,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00133196,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
70,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,-3.40903e-12,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00127932,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
80,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,0,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00116833,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
90,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,-3.40903e-12,-1.13706e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00110376,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
100,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,0,-1.13706e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00104283,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
110,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,-3.40903e-12,-1.13707e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000999602,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
120,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,0,-1.13708e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000942389,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
130,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,-3.40903e-12,-1.13708e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000897772,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
140,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,0,-1.13709e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000865824,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
150,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,-3.40903e-12,-1.13709e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000824833,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
160,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,0,-1.1371e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000787363,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
170,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,-3.40903e-12,-1.1371e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000757819,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
180,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,0,-1.13711e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000723393,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
190,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,-3.40903e-12,-1.13711e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000689145,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
200,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,0,-1.13712e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000663264,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
210,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,-3.40903e-12,-1.13712e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000633166,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
220,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,0,-1.13713e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00060692,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
230,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,-3.40903e-12,-1.13714e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000586517,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
240,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,0,-1.13714e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000541403,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
250,-3.2124e-12,4.85894e-38,-1.57181e-06,-3.27827e-12,4.85847e-38,-3.40903e-12,-1.13715e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000522136,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0
