timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OT,filtered_vx,filtered_vygateArea
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00779127,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00752953,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
30,-3.34207e-12,1.66473e-38,-1.61512e-06,-3.40794e-12,1.66461e-38,-3.9599e-12,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00160051,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
40,-3.34207e-12,1.66473e-38,-1.61512e-06,-3.40794e-12,1.66461e-38,0,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00154989,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
50,-3.34207e-12,1.66473e-38,-1.61512e-06,-3.40794e-12,1.66461e-38,-3.9599e-12,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00150388,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
60,-3.34207e-12,1.66473e-38,-1.61512e-06,-3.40794e-12,1.66461e-38,0,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00145632,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
70,-3.34207e-12,1.66473e-38,-1.61512e-06,-3.40794e-12,1.66461e-38,-3.9599e-12,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00141309,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
80,-3.34207e-12,1.66473e-38,-1.61512e-06,-3.40794e-12,1.66461e-38,0,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00137115,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
90,-3.34207e-12,1.66473e-38,-1.61512e-06,-3.40794e-12,1.66461e-38,-3.9599e-12,-1.13706e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00133045,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
100,-3.34207e-12,1.66473e-38,-1.61512e-06,-3.40794e-12,1.66461e-38,0,-1.13706e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00129096,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
110,-3.34207e-12,1.66473e-38,-1.61512e-06,-3.40794e-12,1.66461e-38,-3.9599e-12,-1.13707e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00117642,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
120,-3.34207e-12,1.66473e-38,-1.61512e-06,-3.40794e-12,1.66461e-38,0,-1.13708e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00110908,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
130,-3.34207e-12,1.66473e-38,-1.61512e-06,-3.40794e-12,1.66461e-38,-3.9599e-12,-1.13708e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000886252,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
140,-3.34207e-12,1.66473e-38,-1.61512e-06,-3.40794e-12,1.66461e-38,0,-1.13709e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000783197,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
150,-3.34207e-12,1.66473e-38,-1.61512e-06,-3.40794e-12,1.66461e-38,-3.9599e-12,-1.13709e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.000710623,-1.5,nan,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
