timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OT
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.0062205,-1.5,nan,0,0,3,0,0,0,0,0,0
20,-3.34124e-12,0,-1.59137e-06,-3.40794e-12,0,0,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00145167,-1.5,nan,0,0,3,0,0,0,0,0,0
30,-3.34124e-12,0,-1.59137e-06,-3.40794e-12,0,-3.89773e-12,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00140861,-1.5,nan,0,0,3,0,0,0,0,0,0
40,-3.34124e-12,0,-1.59137e-06,-3.40794e-12,0,0,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00132532,-1.5,nan,0,0,3,0,0,0,0,0,0
50,-3.34124e-12,0,-1.59137e-06,-3.40794e-12,0,-3.89773e-12,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00127294,-1.5,nan,0,0,3,0,0,0,0,0,0
60,-3.34124e-12,0,-1.59137e-06,-3.40794e-12,0,0,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00121767,-1.5,nan,0,0,3,0,0,0,0,0,0
70,-3.34124e-12,0,-1.59137e-06,-3.40794e-12,0,-3.89773e-12,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00117194,-1.5,nan,0,0,3,0,0,0,0,0,0
80,-3.34124e-12,0,-1.59137e-06,-3.40794e-12,0,0,-1.13706e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00109795,-1.5,nan,0,0,3,0,0,0,0,0,0
90,-3.34124e-12,0,-1.59137e-06,-3.40794e-12,0,-3.89773e-12,-1.13706e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00091625,-1.5,nan,0,0,3,0,0,0,0,0,0
100,-3.34124e-12,0,-1.59137e-06,-3.40794e-12,0,0,-1.13707e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.000874671,-1.5,nan,0,0,3,0,0,0,0,0,0
