0,71.505013,-13.466836,0.540857,-3.635183,0.233086,-3.826295,0.232848
1,71.330025,-13.435864,0.506032,-3.840824,0.212671,-3.848525,0.244468
2,71.233040,-13.427958,0.485229,-3.920055,0.257853,-3.870104,0.249406
3,71.064056,-13.417517,0.447613,-3.863856,0.251529,-3.911039,0.256641
4,70.971069,-13.411359,0.425200,-3.993025,0.247919,-3.933151,0.258909
5,70.799080,-13.399296,0.382060,-4.311346,0.305795,-3.973378,0.261417
6,70.715096,-13.393188,0.360074,-4.428682,0.268254,-3.992805,0.261723
7,70.529106,-13.379375,0.310700,-3.968368,0.255201,-4.035536,0.261713
8,70.431129,-13.371108,0.284294,-4.213608,0.263033,-4.057058,0.261312
9,70.263138,-13.355655,0.238970,-4.060160,0.248537,-4.092679,0.260576
10,70.096153,-13.337214,0.194630,-4.051511,0.260645,-4.125005,0.260556
11,69.926170,-13.317212,0.151057,-4.178614,0.271406,-4.156683,0.262100
12,69.845184,-13.306701,0.130817,-4.178614,0.271406,-4.170794,0.263355
13,69.661194,-13.281695,0.085824,-4.023089,0.240297,-4.201727,0.267196
-1,-0.304028,-9.640541,0.265417,0.308009,0.000000,-4.201725,0.267196
